S³owo;D³ugoœæ
a;1
i;1
–;1
w;1
+;1
-;1
z;1
ii;2
vi;2
19;2
im;2
21;2
16;2
x1;2
on;2
by;2
na;2
go;2
mu;2
ai;2
do;2
po;2
za;2
co;2
¿e;2
to;2
od;2
xx;2
20;2
siê;3
ale;3
kgb;3
msw;3
ich;3
fot;3
rok;3
tym;3
usa;3
by³;3
prl;3
sam;3
pod;3
jak;3
gra;3
dla;3
lub;3
mi6;3
nie;3
ju¿;3
grê;3
cia;3
tys;3
tej;3
tak;3
dwa;3
lata;4
1961;4
syna;4
jego;4
ci¹g;4
nauk;4
nikt;4
1600;4
góra;4
by³o;4
mimo;4
zsrr;4
oraz;4
ca³y;4
krok;4
mo¿e;4
jako;4
jest;4
mia³;4
nowo;4
pory;4
1945;4
roku;4
uda³;4
1958;4
samp;4
by³y;4
1955;4
by³a;4
1918;4
now¹;4
1922;4
2025;4
cara;4
14:24;5
jakie;5
bloku;5
b³êdy;5
tylko;5
która;5
wieku;5
tak¿e;5
uda³o;5
trwaæ;5
m³ody;5
sobie;5
rzecz;5
temat;5
który;5
cenne;5
skróæ;5
wobec;5
agent;5
wroga;5
klasy;5
s³u¿b;5
wojny;5
(mbp);5
metod;5
swoj¹;5
wideo;5
zmar³;5
mia³y;5
gdzie;5
przez;5
uzna³;5
misja;5
(cia);5
koñcu;5
przed;5
tytu³;5
ponad;5
¿ycia;5
audio;5
¿yciu;5
poznaj;6
planów;6
czasie;6
œwiat…;6
latach;6
dziêki;6
dalszy;6
wiêcej;6
fikcjê;6
siebie;6
stanów;6
objêty;6
czasem;6
jednak;6
jednym;6
wysoko;6
gdañsk;6
takich;6
dostêp;6
dzia³a;6
stronê;6
zmiany;6
ryzyka;6
wojska;6
którzy;6
domena;6
wywiad;6
polski;6
krajów;6
uzna³a;6
sprawê;6
prosto;6
cztery;6
zacz¹³;6
tamtym;6
ryzyko;6
zosta³;6
zdawa³;6
s³u¿by;6
zachód;6
micha³;6
poznañ;6
goniec;6
popad³;6
berlin;6
zimnej;6
wyroku;6
pewnym;6
pe³ni³;6
bowiem;6
ciosem;6
ochronê;7
kariery;7
legend¹;7
kariera;7
ochrony;7
ludowej;7
karierê;7
blake'a;7
oficera;7
znalaz³;7
póŸniej;7
reklama;7
urodzi³;7
agencj¹;7
wywiadu;7
uzyska³;7
ujawni³;7
agentem;7
mariusz;7
miejsce;7
artyku³;7
agentów;7
ró¿nych;7
pobli¿u;7
kontakt;7
spêdzi³;7
œmierci;7
zielona;7
punktem;7
funkcjê;7
wiêksze;7
równie¿;7
raporty;7
zamiast;7
granicy;7
funkcje;7
swojego;7
kolejne;7
podczas;7
zdrajca;7
zdrajcy;7
wydanie;7
wst¹pi³;7
jednego;7
naukowe;7
rodzina;7
g³ównym;7
systemu;7
cennych;7
wkrótce;7
micha³a;7
zarówno;7
sierpnia;8
wybuchem;8
pocz¹tki;8
podwójn¹;8
ksiêgowy;8
miastach;8
historii;8
ucieczce;8
wolnoœci;8
zawieraæ;8
operacji;8
ukoñczy³;8
styczniu;8
wydzia³u;8
ucieczkê;8
przerzut;8
otrzyma³;8
materia³;8
struktur;8
ogromnym;8
rodzinie;8
paranojê;8
kontekst;8
obszerne;8
wsparcie;8
zaufanie;8
podwójny;8
wiecznie;8
podwójna;8
uwierzy³;8
pracowa³;8
okupacji;8
george'a;8
zdradzi³;8
œwiadków;8
aparacie;8
pozornej;8
artyku³u;8
miko³aja;8
pozostaæ;8
powa¿nie;8
wszystko;8
sukcesów;8
momencie;8
romanowa;8
magistra;8
odebra³a;8
zachodni;8
werbunku;8
nawi¹za³;8
publiczna;9
pozwoli³y;9
szeregach;9
zachodzie;9
awansowaæ;9
gimnazjum;9
prowadziæ;9
obawiaj¹c;9
powsta³ej;9
lojalnego;9
mianowany;9
pseudonim;9
"""snajper""";9
listopada;9
rozwija³a;9
przejœcie;9
ziemskich;9
niezwykle;9
materia³u;9
oznacza³o;9
centraln¹;9
1957-1960;9
mitomanem;9
przerzutu;9
bohaterem;9
tajemnice;9
programem;9
nieœwie¿u;9
wolsztyna;9
traktowa³;9
polskiego;9
wiêkszoœæ;9
maj¹tkach;9
œwiatowej;9
to¿samoœæ;9
osobistym;9
finansowe;9
pos³uchaj;9
wysokiego;9
twierdziæ;9
przekazane;10
przenios³a;10
operacyjne;10
zdobywaj¹c;10
naczelnika;10
znacz¹cych;10
pocz¹tkowo;10
stanowiska;10
zorientuj¹;10
intendenta;10
generowane;10
lojalnoœci;10
desperacki;10
wartownika;10
informacje;10
zdecydowa³;10
dostarcza³;10
porzucenie;10
carewiczem;10
archiwalny;10
zachodnich;10
amerykanom;10
ujawnienie;10
zapomniany;10
mieszkanie;10
przyjmuj¹c;10
instytucji;10
precyzyjne;10
informacji;10
dzieciñstwa;11
superszpieg;11
publicznego;11
szczegó³owe;11
gospodarcze;11
urzêdniczej;11
przekazywa³;11
warszawskim;11
dramatyczny;11
infiltracji;11
wywiadowcz¹;11
goleniewski;11
zdemaskowaæ;11
szpiegostwa;11
dynamicznie;11
najbardziej;11
niemieckiej;11
wschodniego;11
szpiegostwo;11
spowodowa³o;11
informatorów;12
dzia³aj¹cych;12
politycznych;12
wielkopolsce;12
uciekinierów;12
radzieckiego;12
dzia³alnoœci;12
(elevenlabs);12
postawionego;12
doniesieniom;12
departamentu;12
ministerstwa;12
aresztowanie;12
prze³o¿onych;12
uniwersytecie;13
amerykañskich;13
zorganizowali;13
rozpoczynaj¹c;13
doœwiadczenie;13
b³yskawicznie;13
zamordowanego;13
zjednoczonych;13
przekroczeniu;13
dekonspiracji;13
wywiadowczych;13
archiwalnyonet;14
bezpieczeñstwa;14
goleniewskiego;14
zidentyfikowaæ;14
komunistycznych;15
najtajniejszych;15
najcenniejszych;15
przedstawicieli;15
podpu³kownikiem;15
dotychczasowego;15
odpowiedzialnego;16
ogólnokszta³c¹cego;18
publiczna/wikipedia;19
publiczna/wikipediadomena;25
